,J,Kreis,männlich,weiblich,DAlter_m,DAlter_w,Ein,Geschl_v,D_Alter
0,2000,Aichach0Friedberg (Lkr),61108,62155,37.073214636381486,39.390974177459576,123263,98.315501568659,38.24193797003156
1,2000,Altötting (Lkr),52382,55886,38.36598449849185,41.99638549905164,108268,93.73009340443045,40.2399323899952
2,2000,Amberg (Krfr.St),20801,22993,39.55838661602807,43.961336058800505,43794,90.4666637672335,41.8700506918756
3,2000,Amberg0Sulzbach (Lkr),53764,55135,37.586079904768994,40.35801215199057,108899,97.51337625827514,38.98949485302895
4,2000,Ansbach (Krfr.St),19058,21107,39.738534998425855,43.35267920595063,40165,90.29232008338465,41.63779409934022
5,2000,Ansbach (Lkr),90382,92825,37.101823371910335,40.167993536224074,183207,97.36816590358201,38.65535159682763
6,2000,Aschaffenburg (Krfr.St),32364,35228,38.89679891237177,42.698194617917565,67592,91.87010332689906,40.87803290330216
7,2000,Aschaffenburg (Lkr),86229,87686,37.948532396293594,40.3864356909883,173915,98.33838925256028,39.17769600091999
8,2000,Augsburg (Krfr.St),122000,132982,39.603139344262296,43.81987035839437,254982,91.74173948353913,41.80231153571625
9,2000,Augsburg (Lkr),116325,120097,37.527126584998925,40.09783758128846,236422,96.8592054755739,38.83298931571512
10,2000,Bad Kissingen (Lkr),52996,56332,38.8381198581025,42.60063551800042,109328,94.07796634239864,40.77678179423386
11,2000,Bad Tölz0Wolfratshausen (Lkr),56392,59625,38.54768406866222,41.70705241090147,116017,94.57777777777778,40.17138867579751
12,2000,Bamberg (Krfr.St),32016,37020,39.94059220389805,44.48349540788763,69036,86.48298217179902,42.37668752534909
13,2000,Bamberg (Lkr),70930,71442,36.515282673057946,38.9328826180678,142372,99.28333473307018,37.72842974742225
14,2000,Bayreuth (Krfr.St),35521,38632,38.72241772472622,43.45635742389729,74153,91.94709049492648,41.18869094979299
15,2000,Bayreuth (Lkr),53523,55601,38.34306746632289,41.50903760723728,109124,96.2626571464542,39.95619662035849
16,2000,Berchtesgadener Land (Lkr),47638,52210,39.59884965783618,44.19410074698334,99848,91.2430568856541,42.00168255748738
17,2000,Cham (Lkr),64866,66169,37.921006382388306,40.96827819673865,131035,98.03079992141335,39.4597931850269
18,2000,Coburg (Krfr.St),20146,22610,40.2881465303286,45.20265369305617,42756,89.10216718266254,42.88701001029095
19,2000,Coburg (Lkr),45315,46928,38.81992717643165,41.7255369928401,92243,96.5628196385953,40.29813644395781
20,2000,Dachau (Lkr),63893,65654,37.900302067519135,40.20690285435769,129547,97.3177567246474,39.06927987525763
21,2000,Deggendorf (Lkr),56593,58939,37.73123884579365,41.016729160657626,115532,96.01961349870206,39.40734168888273
22,2000,Dillingen a.d.Donau (Lkr),46190,47583,36.763498592769,39.980476220498915,93773,97.0724838702898,38.39588154372794
23,2000,Dingolfing0Landau (Lkr),45110,45452,37.35340279317224,40.29453049370765,90562,99.24755786324035,38.82952010777147
24,2000,Donau0Ries (Lkr),64902,64963,37.3722073279714,40.56039591767622,129865,99.90610039560981,38.96705039849074
25,2000,Ebersberg (Lkr),58644,60120,37.99524248004911,40.11711576846307,118764,97.54491017964072,39.06936445387491
26,2000,Eichstätt (Lkr),59780,59781,36.493425894948146,38.699369364848366,119561,99.99832722771448,37.59640685507816
27,2000,Erding (Lkr),58223,57716,36.47129141404599,38.4857231963407,115939,100.87843925427957,37.47410276093463
28,2000,Erlangen (Krfr.St),48915,51863,38.833302667893285,42.09924223434819,100778,94.31579353296185,40.51404076286491
29,2000,Erlangen0Höchstadt (Lkr),64211,64728,37.53107722975814,39.37657582499073,128939,99.20127301940428,38.457526427225275
30,2000,Forchheim (Lkr),55604,56896,37.205992374649306,39.99427024746907,112500,97.72919010123734,38.61614222222222
31,2000,Freising (Lkr),76891,75416,36.325226619500334,38.19388458682508,152307,101.95581839397477,37.25050719927515
32,2000,Freyung0Grafenau (Lkr),40386,42048,37.58453424454019,40.614773592085236,82434,96.04737442922374,39.13020113060145
33,2000,Fürstenfeldbruck (Lkr),94519,98573,39.02812133010294,41.58841670640033,193092,95.88731194140382,40.33514594079506
34,2000,Fürth (Krfr.St),53154,57323,38.6228129585732,42.175915426617586,110477,92.72717757270206,40.466404772034
35,2000,Fürth (Lkr),55184,57712,39.180632067265876,41.73745494871084,112896,95.61962850013862,40.487670068027214
36,2000,Garmisch0Partenkirchen (Lkr),41060,45517,39.652094495859714,44.101588417514336,86577,90.20805413362041,41.99137184240618
37,2000,Günzburg (Lkr),60226,61337,36.92576295951915,40.271043578916476,121563,98.18869524104538,38.61369002081226
38,2000,Haßberge (Lkr),44187,44322,37.48620635028402,40.36146834529128,88509,99.6954108569108,38.92603012123061
39,2000,Hof (Krfr.St),23898,26843,40.45773704912545,45.0944380285363,50741,89.02879707931304,42.91064425218266
40,2000,Hof (Lkr),52583,56443,40.540973318372856,43.910050847757915,109026,93.1612423152561,42.2851521655385
41,2000,Ingolstadt (Krfr.St),56895,58827,38.45939010457861,41.70498240603804,115722,96.71579376816769,40.109279134477454
42,2000,Kaufbeuren (Krfr.St),19790,22115,40.00030318342597,44.40520009043635,41905,89.48677368302057,42.32494929006085
43,2000,Kelheim (Lkr),54379,55131,37.034866400632595,39.94701710471423,109510,98.63597612958228,38.50094055337412
44,2000,Kempten (Allgäu) (Krfr.St),29073,32316,39.918102706978985,44.28215125634361,61389,89.9647233568511,42.21539689520924
45,2000,Kitzingen (Lkr),44063,44923,37.74400290493158,40.707544019767155,88986,98.0856131602965,39.2400939473625
